Cidade,Total de Participantes
Aluninio,1
Araçoiaba da Serra ,4
Arujá ,2
Campinas ,5
Capela do Alto,3
Carapicuíba ,1
Elias Fausto ,2
Espírito Santo do Pinhal ,2
Ferraz de Vasconcelos ,2
Hortolândia ,6
Ibiúna ,3
Iperó ,5
Itaberá ,1
Itú ,21
Mairinque,1
Mauá ,3
Mogi Guaçu ,13
Monte Mor,1
Osasco ,2
Piedade ,7
Piracicaba ,5
Porto Feliz ,8
Salto,47
Salto de Pirapora ,1
Sarapuí ,3
Sorocaba ,87
Sumaré ,6
São Paulo ,14
Tatuí ,2
Valinhos ,4
Vinhedo,4
Votorantim ,58
